activity,n_executions,n_measured,cases_touched,repeats_per_case,coverage_of_cases,n_resources,median_queue_h,median_processing_h,median_suspended_h,n_anomalies,total_queue_days,total_processing_days,total_suspended_days,share_queue,share_processing,share_suspended,measurable,diagnosis,recommendation,because
W_Complete application,19104,19104,19102,1.0,0.606,115,0.0,0.18,0.0,0,10143.4,169.9,7287.8,0.576,0.01,0.414,True,mixed,investigate before acting,"no component dominates, so any single remedy addresses less than 60% of the delay"
W_Validate application,15848,15848,10912,1.45,0.346,91,0.0,0.2,18.45,0,881.7,199.6,25404.1,0.033,0.008,0.959,True,external,"chase, set a deadline, or redesign the hand-off","most of the elapsed time is suspended, i.e. waiting on someone outside the office; neither hiring nor simplification touches it"
W_Handle leads,3493,3493,3493,1.0,0.111,81,1.17,0.02,0.0,0,860.7,10.1,44.0,0.941,0.011,0.048,True,staffing,add capacity to the roles serving this step,"most of the elapsed time is spent queued, so the work is waiting for a person rather than taking a long time to do"
W_Assess potential fraud,282,282,268,1.05,0.009,11,0.0,0.05,19.94,0,104.6,5.0,981.9,0.096,0.005,0.9,True,external,"chase, set a deadline, or redesign the hand-off","most of the elapsed time is suspended, i.e. waiting on someone outside the office; neither hiring nor simplification touches it"
W_Call incomplete files,2793,2793,2660,1.05,0.084,105,0.0,0.06,4.05,0,38.6,13.7,13606.6,0.003,0.001,0.996,True,external,"chase, set a deadline, or redesign the hand-off","most of the elapsed time is suspended, i.e. waiting on someone outside the office; neither hiring nor simplification touches it"
W_Call after offers,342,342,341,1.0,0.011,83,0.0,0.01,0.0,0,35.0,1.0,426.1,0.076,0.002,0.922,True,external,"chase, set a deadline, or redesign the hand-off","most of the elapsed time is suspended, i.e. waiting on someone outside the office; neither hiring nor simplification touches it"
A_Accepted,31509,0,31509,1.0,1.0,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_Cancelled,10431,0,10431,1.0,0.331,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_Pending,17228,0,17228,1.0,0.547,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_Incomplete,23055,0,15003,1.54,0.476,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_Denied,3753,0,3752,1.0,0.119,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_Create Application,31509,0,31509,1.0,1.0,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_Concept,31509,0,31509,1.0,1.0,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_Complete,31362,0,31362,1.0,0.995,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_Submitted,20423,0,20423,1.0,0.648,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
A_Validating,38816,0,21870,1.77,0.694,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
O_Returned,23305,0,21768,1.07,0.691,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
O_Refused,4695,0,3720,1.26,0.118,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
O_Created,42995,0,31509,1.36,1.0,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
O_Create Offer,42995,0,31509,1.36,1.0,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
O_Cancelled,20898,0,15682,1.33,0.498,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
O_Accepted,17228,0,17228,1.0,0.547,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
O_Sent (mail and online),39707,0,31050,1.28,0.985,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
O_Sent (online only),2026,0,1800,1.13,0.057,0,,,,0,0.0,0.0,0.0,,,,False,unmeasurable,instrument the process before drawing conclusions,"the log records no start timestamps for this step, so queueing and work cannot be separated and the two have opposite remedies"
