rank,from_activity,to_activity,support,avg_reward,condition_delay,condition_rework,condition_case_age,condition_volume,condition_term_prox,is_bad_terminal,is_good_terminal,rule_text,score
1,A_Create Application,W_Complete application,500,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'A_Create Application' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Complete application',0.0
2,W_Complete application,O_Sent (mail and online),492,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'W_Complete application' AND low delay AND low rework AND early in case AND normal volume THEN route to 'O_Sent (mail and online)',0.0
3,O_Sent (mail and online),O_Sent (mail and online),490,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'O_Sent (mail and online)' AND low delay AND low rework AND early in case AND normal volume THEN route to 'O_Sent (mail and online)',0.0
4,O_Sent (mail and online),W_Call incomplete files,491,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'O_Sent (mail and online)' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Call incomplete files',0.0
5,W_Call incomplete files,W_Assess potential fraud,492,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'W_Call incomplete files' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Assess potential fraud',0.0
6,W_Assess potential fraud,W_Call after offers,492,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'W_Assess potential fraud' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Call after offers',0.0
7,W_Call after offers,W_Call after offers,8250,-0.072,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'W_Call after offers' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Call after offers',0.0
8,W_Call after offers,W_Validate application,228,-0.155,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'W_Call after offers' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'W_Validate application',0.0
9,W_Validate application,W_Validate application,2387,-0.219,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'W_Validate application' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'W_Validate application',0.0
10,W_Validate application,W_Call incomplete files,104,-0.083,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'W_Validate application' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'W_Call incomplete files',0.0
11,W_Call incomplete files,W_Validate application,97,-0.095,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'W_Call incomplete files' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'W_Validate application',0.0
12,W_Complete application,W_Call after offers,8,-0.017,low delay,low rework,early in case,high volume,far from terminal,False,False,IF at 'W_Complete application' AND low delay AND low rework AND early in case AND high volume THEN route to 'W_Call after offers',0.0
13,W_Call after offers,O_Returned,7,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'W_Call after offers' AND low delay AND low rework AND early in case AND normal volume THEN route to 'O_Returned',0.0
14,O_Returned,W_Call after offers,8,-0.017,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'O_Returned' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Call after offers',0.0
