rank,type,from_activity,to_activity,rl_pct,random_pct,ratio,log2_ratio,avg_reward,transition_type,in_real_log,insight,recommendation
1,PREFER,enter senddate acknowledgement,set decision phase suspension sent,100.0,0.0,111.0,6.794,0.25,learned_prefer,True,RL routes 100% from 'enter senddate acknowledgement' to 'set decision phase suspension sent' vs 0% random (log2 ratio: +6.8).,"Prioritise routing from 'enter senddate acknowledgement' to 'set decision phase suspension sent' (111.0x more than random, avg reward +0.250). Consider making this the default transition rule at this decision point."
2,PREFER,submit decision,treat subcases content,100.0,0.0,93.0,6.539,0.25,learned_prefer,True,RL routes 100% from 'submit decision' to 'treat subcases content' vs 0% random (log2 ratio: +6.5).,"Prioritise routing from 'submit decision' to 'treat subcases content' (93.0x more than random, avg reward +0.250). Consider making this the default transition rule at this decision point."
3,PREFER,transcript decision environmental permit to stakeholders,set phase: phase permitting irrevocable,100.0,0.0,81.0,6.34,0.89,learned_prefer,True,RL routes 100% from 'transcript decision environmental permit to stakeholders' to 'set phase: phase permitting irrevocable' vs 0% random (log2 ratio: +6.3).,"Prioritise routing from 'transcript decision environmental permit to stakeholders' to 'set phase: phase permitting irrevocable' (81.0x more than random, avg reward +0.890). Consider making this the default transition rule at this decision point."
4,PREFER,phase additional information received,start decisionphase draft decision - permitting decided,100.0,0.0,61.0,5.931,0.25,learned_prefer,True,RL routes 100% from 'phase additional information received' to 'start decisionphase draft decision - permitting decided' vs 0% random (log2 ratio: +5.9).,"Prioritise routing from 'phase additional information received' to 'start decisionphase draft decision - permitting decided' (61.0x more than random, avg reward +0.250). Consider making this the default transition rule at this decision point."
5,PREFER,treat subcases content,transcript decision environmental permit to stakeholders,100.0,1.2,57.0,5.833,0.25,learned_prefer,True,RL routes 100% from 'treat subcases content' to 'transcript decision environmental permit to stakeholders' vs 1% random (log2 ratio: +5.8).,"Prioritise routing from 'treat subcases content' to 'transcript decision environmental permit to stakeholders' (57.0x more than random, avg reward +0.250). Consider making this the default transition rule at this decision point."
6,PREFER,treat subcases completeness,set decision phase decision permitting decided,100.0,1.5,44.333,5.47,0.25,learned_prefer,True,RL routes 100% from 'treat subcases completeness' to 'set decision phase decision permitting decided' vs 2% random (log2 ratio: +5.5).,"Prioritise routing from 'treat subcases completeness' to 'set decision phase decision permitting decided' (44.3x more than random, avg reward +0.250). Consider making this the default transition rule at this decision point."
7,AVOID,register submission date request,regular procedure without MER,0.0,2.9,0.058,-4.118,0.0,learned_avoid,True,"RL avoids 'register submission date request' to 'regular procedure without MER' (0% vs 3% random, type: learned_avoid).",The agent avoids 'register submission date request' to 'regular procedure without MER'. This path may lead to loops or inefficiency. Consider adding a routing constraint to discourage it.
8,AVOID,register submission date request,procedure change,0.0,2.9,0.058,-4.118,0.0,learned_avoid,True,"RL avoids 'register submission date request' to 'procedure change' (0% vs 3% random, type: learned_avoid).",The agent avoids 'register submission date request' to 'procedure change'. This path may lead to loops or inefficiency. Consider adding a routing constraint to discourage it.
9,AVOID,register submission date request,create publication document,0.0,3.2,0.052,-4.262,0.0,learned_avoid,True,"RL avoids 'register submission date request' to 'create publication document' (0% vs 3% random, type: learned_avoid).",The agent avoids 'register submission date request' to 'create publication document'. This path may lead to loops or inefficiency. Consider adding a routing constraint to discourage it.
10,AVOID,register submission date request,set decision phase: draft decision permitted sent,0.0,3.2,0.052,-4.262,0.0,learned_avoid,True,"RL avoids 'register submission date request' to 'set decision phase: draft decision permitted sent' (0% vs 3% random, type: learned_avoid).",The agent avoids 'register submission date request' to 'set decision phase: draft decision permitted sent'. This path may lead to loops or inefficiency. Consider adding a routing constraint to discourage it.
11,AVOID,register submission date request,decision date prior to decision,0.0,3.5,0.048,-4.393,0.0,learned_avoid,True,"RL avoids 'register submission date request' to 'decision date prior to decision' (0% vs 4% random, type: learned_avoid).",The agent avoids 'register submission date request' to 'decision date prior to decision'. This path may lead to loops or inefficiency. Consider adding a routing constraint to discourage it.
12,AVOID,register submission date request,set decision status,0.0,4.2,0.041,-4.625,0.0,learned_avoid,True,"RL avoids 'register submission date request' to 'set decision status' (0% vs 4% random, type: learned_avoid).",The agent avoids 'register submission date request' to 'set decision status'. This path may lead to loops or inefficiency. Consider adding a routing constraint to discourage it.
