rank,from_activity,to_activity,support,avg_reward,condition_delay,condition_rework,condition_case_age,condition_volume,condition_term_prox,is_bad_terminal,is_good_terminal,rule_text,score
1,register submission date request,close case,279,-0.013,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'register submission date request' AND low delay AND low rework AND early in case AND normal volume THEN route to 'close case',0.0
2,close case,creating environmental permit decision,317,-0.036,low delay,low rework,early in case,normal volume,approaching terminal,False,False,IF at 'close case' AND low delay AND low rework AND early in case AND normal volume THEN route to 'creating environmental permit decision',0.0
3,creating environmental permit decision,creating cover letter decision,319,-0.048,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'creating environmental permit decision' AND low delay AND low rework AND early in case AND normal volume THEN route to 'creating cover letter decision',0.0
4,creating cover letter decision,continuation term to decision,320,-0.057,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'creating cover letter decision' AND low delay AND low rework AND early in case AND normal volume THEN route to 'continuation term to decision',0.0
5,continuation term to decision,enter senddate continuation,279,-0.015,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'continuation term to decision' AND low delay AND low rework AND early in case AND normal volume THEN route to 'enter senddate continuation',0.0
6,enter senddate continuation,send confirmation receipt,278,-0.014,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'enter senddate continuation' AND low delay AND low rework AND early in case AND normal volume THEN route to 'send confirmation receipt',0.0
7,send confirmation receipt,close case,277,-0.078,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'send confirmation receipt' AND low delay AND low rework AND early in case AND normal volume THEN route to 'close case',0.0
8,close case,request to competent authority,246,-0.068,low delay,low rework,early in case,normal volume,approaching terminal,False,False,IF at 'close case' AND low delay AND low rework AND early in case AND normal volume THEN route to 'request to competent authority',0.0
9,request to competent authority,create forwarding copy,242,-0.053,low delay,low rework,early in case,normal volume,approaching terminal,False,False,IF at 'request to competent authority' AND low delay AND low rework AND early in case AND normal volume THEN route to 'create forwarding copy',0.0
10,create forwarding copy,enter senddate letter to stakeholders,242,-0.041,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'create forwarding copy' AND low delay AND low rework AND early in case AND normal volume THEN route to 'enter senddate letter to stakeholders',0.0
11,enter senddate letter to stakeholders,forward transcript to stakeholders,231,-0.027,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'enter senddate letter to stakeholders' AND low delay AND low rework AND early in case AND normal volume THEN route to 'forward transcript to stakeholders',0.0
12,forward transcript to stakeholders,phase forwarded to competent authority,145,-0.02,low delay,low rework,early in case,normal volume,approaching terminal,False,False,IF at 'forward transcript to stakeholders' AND low delay AND low rework AND early in case AND normal volume THEN route to 'phase forwarded to competent authority',0.0
13,phase forwarded to competent authority,enter senddate letter to stakeholders,91,-0.09,low delay,low rework,early in case,normal volume,approaching terminal,False,False,IF at 'phase forwarded to competent authority' AND low delay AND low rework AND early in case AND normal volume THEN route to 'enter senddate letter to stakeholders',0.0
14,enter senddate letter to stakeholders,phase application received,91,-0.079,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'enter senddate letter to stakeholders' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'phase application received',0.0
15,phase application received,phase decision sent,91,-0.07,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'phase application received' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'phase decision sent',0.0
16,phase decision sent,send design decision to stakeholders,90,-0.061,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'phase decision sent' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'send design decision to stakeholders',0.0
17,send design decision to stakeholders,start WABOprocedure,91,-0.054,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'send design decision to stakeholders' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'start WABOprocedure',0.0
18,start WABOprocedure,completed subcases content,82,-0.047,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'start WABOprocedure' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'completed subcases content',0.0
19,completed subcases content,terminate on request,82,-0.041,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'completed subcases content' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'terminate on request',0.0
20,terminate on request,inform BAG administrator,82,-0.036,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'terminate on request' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'inform BAG administrator',0.0
21,inform BAG administrator,resume completeness subcases,82,-0.031,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'inform BAG administrator' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'resume completeness subcases',0.0
22,resume completeness subcases,register objection and appeal periods,82,-0.027,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'resume completeness subcases' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'register objection and appeal periods',0.0
23,register objection and appeal periods,submit decision,82,-0.023,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'register objection and appeal periods' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'submit decision',0.0
24,submit decision,phase decision ready,82,-0.02,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'submit decision' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'phase decision ready',0.0
25,phase decision ready,phase updated plan received,82,-0.016,low delay,moderate rework,early in case,normal volume,far from terminal,False,False,IF at 'phase decision ready' AND low delay AND moderate rework AND early in case AND normal volume THEN route to 'phase updated plan received',0.0
