rank,from_activity,to_activity,support,avg_reward,condition_delay,condition_rework,condition_case_age,condition_volume,condition_term_prox,is_bad_terminal,is_good_terminal,rule_text,score
1,W_Valideren aanvraag,A_ACCEPTED,500,4.941,low delay,low rework,early in case,normal volume,approaching terminal,False,True,IF at 'W_Valideren aanvraag' AND low delay AND low rework AND early in case AND normal volume THEN route to 'A_ACCEPTED' [GOOD TERMINAL],2470.5
2,A_PARTLYSUBMITTED,W_Beoordelen fraude,500,0.25,low delay,low rework,early in case,normal volume,near terminal,False,False,IF at 'A_PARTLYSUBMITTED' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Beoordelen fraude',125.0
3,A_SUBMITTED,A_PARTLYSUBMITTED,499,0.25,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'A_SUBMITTED' AND low delay AND low rework AND early in case AND normal volume THEN route to 'A_PARTLYSUBMITTED',124.75
4,W_Beoordelen fraude,W_Afhandelen leads,497,0.25,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'W_Beoordelen fraude' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Afhandelen leads',124.25
5,W_Completeren aanvraag,W_Nabellen offertes,497,0.25,low delay,low rework,early in case,normal volume,approaching terminal,False,False,IF at 'W_Completeren aanvraag' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Nabellen offertes',124.25
6,W_Afhandelen leads,W_Completeren aanvraag,497,0.25,low delay,low rework,early in case,normal volume,approaching terminal,False,False,IF at 'W_Afhandelen leads' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Completeren aanvraag',124.25
7,W_Completeren aanvraag,O_SENT_BACK,500,0.248,low delay,low rework,early in case,normal volume,approaching terminal,False,False,IF at 'W_Completeren aanvraag' AND low delay AND low rework AND early in case AND normal volume THEN route to 'O_SENT_BACK',124.0
8,W_Nabellen offertes,W_Valideren aanvraag,497,0.248,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'W_Nabellen offertes' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Valideren aanvraag',123.256
9,W_Valideren aanvraag,W_Completeren aanvraag,500,-0.048,low delay,low rework,early in case,normal volume,approaching terminal,False,False,IF at 'W_Valideren aanvraag' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Completeren aanvraag',0.0
10,O_SENT_BACK,W_Valideren aanvraag,500,-0.048,low delay,low rework,early in case,normal volume,far from terminal,False,False,IF at 'O_SENT_BACK' AND low delay AND low rework AND early in case AND normal volume THEN route to 'W_Valideren aanvraag',0.0
