rank,type,from_activity,to_activity,rl_pct,random_pct,ratio,log2_ratio,avg_reward,transition_type,in_real_log,insight,recommendation
1,PREFER,W_Nabellen offertes,W_Valideren aanvraag,100.0,0.0,47.0,5.555,0.248,learned_prefer,True,RL routes 100% from 'W_Nabellen offertes' to 'W_Valideren aanvraag' vs 0% random (log2 ratio: +5.6).,"Prioritise routing from 'W_Nabellen offertes' to 'W_Valideren aanvraag' (47.0x more than random, avg reward +0.248). Consider making this the default transition rule at this decision point."
2,PREFER,W_Afhandelen leads,W_Completeren aanvraag,100.0,13.3,7.386,2.885,0.25,learned_prefer,True,RL routes 100% from 'W_Afhandelen leads' to 'W_Completeren aanvraag' vs 13% random (log2 ratio: +2.9).,"Prioritise routing from 'W_Afhandelen leads' to 'W_Completeren aanvraag' (7.4x more than random, avg reward +0.250). Consider making this the default transition rule at this decision point."
3,PREFER,A_PARTLYSUBMITTED,W_Beoordelen fraude,100.0,16.8,5.868,2.553,0.25,learned_prefer,True,RL routes 100% from 'A_PARTLYSUBMITTED' to 'W_Beoordelen fraude' vs 17% random (log2 ratio: +2.6).,"Prioritise routing from 'A_PARTLYSUBMITTED' to 'W_Beoordelen fraude' (5.9x more than random, avg reward +0.250). Consider making this the default transition rule at this decision point."
4,PREFER,W_Beoordelen fraude,W_Afhandelen leads,99.4,16.9,5.686,2.507,0.25,learned_prefer,True,RL routes 99% from 'W_Beoordelen fraude' to 'W_Afhandelen leads' vs 17% random (log2 ratio: +2.5).,"Prioritise routing from 'W_Beoordelen fraude' to 'W_Afhandelen leads' (5.7x more than random, avg reward +0.250). Consider making this the default transition rule at this decision point."
5,PREFER,A_SUBMITTED,A_PARTLYSUBMITTED,100.0,24.3,4.097,2.035,0.25,learned_prefer,True,RL routes 100% from 'A_SUBMITTED' to 'A_PARTLYSUBMITTED' vs 24% random (log2 ratio: +2.0).,"Prioritise routing from 'A_SUBMITTED' to 'A_PARTLYSUBMITTED' (4.1x more than random, avg reward +0.250). Consider making this the default transition rule at this decision point."
6,PREFER,W_Completeren aanvraag,W_Nabellen offertes,49.8,12.5,3.824,1.935,0.25,learned_prefer,True,RL routes 50% from 'W_Completeren aanvraag' to 'W_Nabellen offertes' vs 12% random (log2 ratio: +1.9).,"Prioritise routing from 'W_Completeren aanvraag' to 'W_Nabellen offertes' (3.8x more than random, avg reward +0.250). Consider making this the default transition rule at this decision point."
7,AVOID_BAD,A_PARTLYSUBMITTED,A_DECLINED,0.0,25.8,0.004,-8.026,0.0,learned_avoid,True,"RL avoids 'A_PARTLYSUBMITTED' to 'A_DECLINED' (0% vs 26% random, type: learned_avoid).",The agent avoids 'A_DECLINED' (bad terminal) from 'A_PARTLYSUBMITTED'. Random policy hits this path 26% of the time. Implement as a hard routing rule to block this transition.
8,AVOID,A_PARTLYSUBMITTED,W_Afhandelen leads,0.0,24.5,0.004,-7.953,0.0,learned_avoid,True,"RL avoids 'A_PARTLYSUBMITTED' to 'W_Afhandelen leads' (0% vs 24% random, type: learned_avoid).",The agent avoids 'A_PARTLYSUBMITTED' to 'W_Afhandelen leads'. This path may lead to loops or inefficiency. Consider adding a routing constraint to discourage it.
9,AVOID,W_Completeren aanvraag,A_FINALIZED,0.0,16.2,0.003,-8.386,0.0,learned_avoid,True,"RL avoids 'W_Completeren aanvraag' to 'A_FINALIZED' (0% vs 16% random, type: learned_avoid).",The agent avoids 'W_Completeren aanvraag' to 'A_FINALIZED'. This path may lead to loops or inefficiency. Consider adding a routing constraint to discourage it.
10,IMPOSSIBLE,A_SUBMITTED,A_DECLINED,0.0,23.8,0.004,-7.896,0.0,impossible,False,"RL avoids 'A_SUBMITTED' to 'A_DECLINED' (0% vs 24% random, type: impossible).","NOTE: 'A_SUBMITTED' to 'A_DECLINED' never appears in the real event log — this is a twin artefact, not a learned avoidance. No business action needed."
11,IMPOSSIBLE,A_SUBMITTED,W_Afhandelen leads,0.0,24.0,0.004,-7.907,0.0,impossible,False,"RL avoids 'A_SUBMITTED' to 'W_Afhandelen leads' (0% vs 24% random, type: impossible).","NOTE: 'A_SUBMITTED' to 'W_Afhandelen leads' never appears in the real event log — this is a twin artefact, not a learned avoidance. No business action needed."
12,IMPOSSIBLE,A_SUBMITTED,A_PREACCEPTED,0.0,27.9,0.004,-8.129,0.0,impossible,False,"RL avoids 'A_SUBMITTED' to 'A_PREACCEPTED' (0% vs 28% random, type: impossible).","NOTE: 'A_SUBMITTED' to 'A_PREACCEPTED' never appears in the real event log — this is a twin artefact, not a learned avoidance. No business action needed."
